RC Re-Mapped Sector,RC Re-Mapped Industry,RC Re-Mapped Sub-Industry,Zoominfo New Industry Name,Zoominfo New Sub Industry Name
Retail & Consumer Products,Retail,Restaurants,Business Services,Food Service
Retail & Consumer Products,Consumer Products,Appliances,Manufacturing,Appliances
Retail & Consumer Products,Consumer Products,Cleaning Products,Manufacturing,Cleaning Products
Retail & Consumer Products,Consumer Products,"Cosmetics, Beauty Supply & Personal Care Products",Manufacturing,"Cosmetics, Beauty Supply & Personal Care Products"
Retail & Consumer Products,Consumer Products,Food & Beverage,Manufacturing,Food & Beverage
Retail & Consumer Products,Consumer Products,Pet Products,Manufacturing,Pet Products
Retail & Consumer Products,Consumer Products,Sporting Goods,Manufacturing,Sporting Goods
Retail & Consumer Products,Consumer Products,Toys & Games,Manufacturing,Toys & Games
Retail & Consumer Products,Consumer Products,Watches & Jewelry,Manufacturing,Watches & Jewelry
Retail & Consumer Products,Consumer Products,Textiles & Apparel,Manufacturing,Textiles & Apparel
Retail & Consumer Products,Retail,Retail,Retail,
Retail & Consumer Products,Retail,Specialty,Retail,Auctions
Retail & Consumer Products,Retail,Specialty,Retail,"Record, Video & Book Stores"
Retail & Consumer Products,Retail,Specialty,Retail,Apparel & Accessories Retail
Retail & Consumer Products,Retail,Specialty,Retail,Consumer Electronics & Computers Retail
Retail & Consumer Products,Retail,"Food, Drug, Convenience",Retail,"Convenience Stores, Gas Stations & Liquor Stores"
Retail & Consumer Products,Retail,Specialty,Retail,"Department Stores, Shopping Centers & Superstores"
Retail & Consumer Products,Retail,Specialty,Retail,Furniture
Retail & Consumer Products,Retail,Specialty,Retail,"Flowers, Gifts & Specialty Stores"
Retail & Consumer Products,Retail,"Food, Drug, Convenience",Retail,Grocery Retail
Retail & Consumer Products,Retail,Specialty,Retail,Home Improvement & Hardware Retail
Retail & Consumer Products,Retail,Specialty,Retail,Jewelry & Watch Retail
Retail & Consumer Products,Retail,Specialty,Retail,Office Products Retail & Distribution
Retail & Consumer Products,Retail,Specialty,Retail,Pet Products
Retail & Consumer Products,Retail,Specialty,Retail,"Other Rental Stores (Furniture, A/V, Construction & Industrial Equipment)"
Retail & Consumer Products,Retail,Specialty,Retail,Sporting & Recreational Equipment Retail
Retail & Consumer Products,Retail,Specialty,Retail,Toys & Games
"Transportation, Travel & Leisure",Transportation,Transportation,Transportation,
"Transportation, Travel & Leisure",Travel,"Airlines, Airports & Air Services",Transportation,"Airlines, Airports & Air Services"
"Transportation, Travel & Leisure",Transportation,Freight & Logistics Services,Transportation,Freight & Logistics Services
"Transportation, Travel & Leisure",Transportation,Marine Shipping & Transportation,Transportation,Marine Shipping & Transportation
"Transportation, Travel & Leisure",Transportation,"Trucking, Moving & Storage",Transportation,"Trucking, Moving & Storage"
"Transportation, Travel & Leisure",Travel,"Rail, Bus & Taxi",Transportation,"Rail, Bus & Taxi"
"Transportation, Travel & Leisure",Travel,Car & Truck Rental,Consumer Services,Car & Truck Rental
"Transportation, Travel & Leisure",Leisure,Leisure,Hospitality,
"Transportation, Travel & Leisure",Leisure,Cultural & Informational Centers,Hospitality,Cultural & Informational Centers
"Transportation, Travel & Leisure",Leisure,Fitness & Dance Facilities,Hospitality,Fitness & Dance Facilities
"Transportation, Travel & Leisure",Leisure,Gambling & Gaming,Hospitality,Gambling & Gaming
"Transportation, Travel & Leisure",Travel,Lodging & Resorts,Hospitality,Lodging & Resorts
"Transportation, Travel & Leisure",Leisure,Performing Arts Theaters,Hospitality,Performing Arts Theaters
"Transportation, Travel & Leisure",Leisure,Sports Teams & Leagues,Hospitality,Sports Teams & Leagues
"Transportation, Travel & Leisure",Travel,Travel Agencies & Services,Hospitality,Travel Agencies & Services
"Transportation, Travel & Leisure",Leisure,"Amusement Parks, Arcades & Attractions",Hospitality,"Amusement Parks, Arcades & Attractions"
